,file,unique_albums
396,regional-us-weekly-2018-11-16--2018-11-23.csv,145
397,regional-us-weekly-2018-11-23--2018-11-30.csv,40
398,regional-us-weekly-2018-11-23--2018-11-30.csv,78
399,regional-us-weekly-2018-11-23--2018-11-30.csv,115
400,regional-us-weekly-2018-11-23--2018-11-30.csv,149
401,regional-us-weekly-2018-11-30--2018-12-07.csv,42
402,regional-us-weekly-2018-11-30--2018-12-07.csv,70
403,regional-us-weekly-2018-11-30--2018-12-07.csv,96
404,regional-us-weekly-2018-11-30--2018-12-07.csv,130
405,regional-us-weekly-2018-12-07--2018-12-14.csv,37
406,regional-us-weekly-2018-12-07--2018-12-14.csv,66
407,regional-us-weekly-2018-12-07--2018-12-14.csv,100
408,regional-us-weekly-2018-12-07--2018-12-14.csv,133
409,regional-us-weekly-2018-12-14--2018-12-21.csv,44
410,regional-us-weekly-2018-12-14--2018-12-21.csv,72
411,regional-us-weekly-2018-12-14--2018-12-21.csv,105
412,regional-us-weekly-2018-12-14--2018-12-21.csv,134
413,regional-us-weekly-2018-12-21--2018-12-28.csv,43
414,regional-us-weekly-2018-12-21--2018-12-28.csv,67
415,regional-us-weekly-2018-12-21--2018-12-28.csv,102
416,regional-us-weekly-2018-12-21--2018-12-28.csv,132
